dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg1_floor, 450, 520, 0.11658, 2.55551, 0.84339, 0.55497, 4.66594, 0.80001, 0.19254, 4.12657, 0.85557, 0.43899, 2.15409, 0.56881, 0.20175, 2.32307, 0.72213, 0.31255, 0.48937, 0.86316, 0.50551, 120.03509, NaN, NaN, 4.17351, 0.50791, 0.15962
freiburg1_floor, 750, 810, 0.20863, 5.37352, 0.74179, 0.62383, 7.01243, 0.71484, 0.25661, 6.05926, 0.75702, 0.52853, 3.14138, 0.47562, 0.08426, 3.92218, 0.62112, 0.18861, 7.23206, 0.73167, 0.65811, 46.95115, 0.70842, 0.83628, 3.97445, 0.47554, 0.06529
freiburg1_floor, 420, 320, 0.31581, 3.32398, 0.75921, 0.46227, 6.72710, 0.71343, 0.48140, 4.01657, 0.72275, 0.46616, 3.46615, 0.42962, 0.12147, 3.97164, 0.67865, 0.39772, NaN, NaN, NaN, 4.50957, 0.89454, 2.73231, 3.76936, 0.40121, 0.16486
freiburg1_floor, 800, 860, 0.45199, 3.14939, 0.53320, 0.04820, 1.64552, 0.23890, 0.04469, 3.10533, 0.39366, 0.09738, 1.38867, 0.11791, 0.03261, 1.49806, 0.17967, 0.07039, 1.63430, 0.87687, 0.26980, 1.46844, 1.62770, 2.36503, 3.06205, 0.03376, 0.07743
freiburg1_floor, 530, 500, 0.59295, 1.91237, 0.21650, 0.25988, 1.40799, 0.13352, 0.02452, 3.07936, 0.23128, 0.18367, 0.72406, 0.04152, 0.02919, 1.04024, 0.10524, 0.05285, 0.75214, 0.33014, 0.27983, 1.01486, 0.35611, 0.32985, 2.11672, 0.01250, 0.01015
freiburg1_floor, 540, 600, 0.66971, 1.94484, 0.47923, 0.24900, 2.98707, 0.24760, 0.18969, 2.49778, 0.37503, 0.20360, 0.61558, 0.05141, 0.12457, 0.87782, 0.13174, 0.02957, 0.55095, 0.60225, 0.25064, 0.74630, 0.71812, 0.29238, 2.38933, 0.02126, 0.25971
freiburg1_floor, 650, 960, 0.73908, 2.03081, 0.31692, 0.44285, 4.15578, 0.16684, 0.14635, 3.88292, 0.22474, 0.35537, 0.62258, 0.00699, 0.29222, 1.23628, 0.07506, 0.14255, 25.05070, 0.34371, 0.41365, 0.65275, 0.22126, 0.53473, 0.87622, 0.00574, 0.29591
freiburg1_floor, 570, 650, 0.81349, 1.06928, 0.22582, 0.16359, 2.91277, 0.12747, 0.01084, 0.90479, 0.10035, 0.20216, 0.70551, 0.03959, 0.30733, 0.89796, 0.07245, 0.29249, 0.45284, 0.38775, 0.00616, 0.37764, 0.67459, 0.36801, 2.43775, 0.02828, 0.27048
freiburg1_floor, 820, 830, 0.96072, 1.44176, 0.05629, 0.00388, 3.07333, 0.04224, 0.15612, 2.33249, 0.04721, 0.02871, 0.42805, 0.00144, 0.30082, 0.70582, 0.01436, 0.25312, 0.22667, 0.05484, 0.00688, 0.30611, 0.48769, 0.24786, 0.86831, 0.00088, 0.30388
freiburg1_room, 60, 210, 0.13144, 7.15534, 1.23952, 0.41850, 11.73882, 1.21222, 0.35381, 6.91614, 1.24510, 0.41852, 6.98346, 1.23951, 0.41851, 7.06406, 1.24214, 0.42074, NaN, NaN, NaN, 120.03073, NaN, NaN, 8.51204, 1.16004, 0.38170
