dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg2_large_with_loop, 80, 70, 0.97529, 1.26170, 0.10732, 0.02379, 2.03591, 0.11754, 0.05825, 1.54120, 0.10377, 0.04307, 1.91740, 0.10751, 0.04678, 2.02341, 0.11142, 0.05006, NaN, NaN, NaN, 2.00960, 0.00000, 0.31414, 5.54676, 0.07746, 0.07818
freiburg3_long_household_office, 820, 520, 0.17005, 7.49185, 1.02250, 0.33989, 13.91164, 1.04303, 0.60765, 21.27018, 1.02482, 0.63860, 15.26729, 1.03023, 0.61156, 19.53849, 1.11276, 0.60549, NaN, NaN, NaN, 120.02791, NaN, NaN, 14.01841, 1.07064, 0.59679
freiburg3_long_household_office, 250, 420, 0.22738, 11.96069, 0.54261, 1.57222, 24.78048, 0.75737, 2.10158, 24.96898, 0.66084, 1.87489, 12.99698, 0.41651, 0.31916, 13.98987, 0.40028, 0.25934, NaN, NaN, NaN, 120.03105, NaN, NaN, 28.29179, 0.33048, 0.16201
freiburg3_long_household_office, 910, 490, 0.31145, 19.31188, 0.97254, 0.71126, 58.49007, 0.89106, 0.76975, 28.39603, 0.86879, 0.68439, 93.80045, 1.10670, 1.29578, 86.83647, 1.24798, 1.49452, NaN, NaN, NaN, 120.01983, NaN, NaN, 71.94107, 0.97594, 1.14033
freiburg3_long_household_office, 450, 290, 0.45015, 12.66119, 0.72233, 0.99007, 3.71434, 0.10694, 0.05198, 3.43471, 0.11896, 0.13635, 7.65928, 0.20441, 0.15128, 7.63734, 0.05364, 0.04466, NaN, NaN, NaN, 58.97623, 0.00000, 0.31416, 12.78247, 0.10832, 0.11641
freiburg3_long_household_office, 340, 410, 0.58938, 5.34828, 0.39572, 0.45158, 5.22445, 0.27295, 0.34010, 7.02713, 0.31184, 0.42717, 2.11665, 0.16968, 0.13749, 5.33200, 0.03562, 0.02216, NaN, NaN, NaN, 27.48119, 0.00000, 0.31416, 6.27088, 0.03559, 0.02054
freiburg3_long_household_office, 290, 250, 0.65204, 1.37134, 0.02756, 0.03436, 2.02434, 0.01790, 0.02039, 1.92305, 0.02235, 0.02027, 1.96737, 0.01751, 0.01971, 2.08704, 0.01734, 0.01898, 0.22535, 0.02594, 0.02960, 17.89610, 0.00000, 0.31417, 3.41172, 0.01992, 0.01527
freiburg3_long_household_office, 240, 10, 0.73182, 5.49506, 0.40446, 0.16824, 7.72098, 0.18320, 0.04221, 5.04695, 0.29008, 0.13370, 6.62886, 0.17599, 0.02858, 6.03773, 0.22181, 0.11635, NaN, NaN, NaN, 7.95160, 0.00000, 0.31416, 7.88070, 0.17433, 0.07124
freiburg3_long_household_office, 860, 940, 0.87416, 1.16537, 0.02195, 0.03011, 1.81651, 0.01891, 0.02539, 1.33728, 0.01989, 0.02650, 1.65113, 0.01915, 0.02651, 1.35408, 0.01958, 0.02587, 0.23063, 0.02339, 0.03405, 0.30375, 0.00000, 0.31417, 4.51161, 0.01764, 0.01127
freiburg3_long_household_office, 10, 30, 0.99383, 1.01887, 0.00796, 0.01977, 1.90115, 0.00789, 0.01372, 1.36305, 0.00536, 0.01401, 1.55025, 0.00747, 0.01314, 1.47295, 0.00772, 0.01314, 0.21408, 0.00435, 0.02234, 1.23138, 0.00000, 0.31416, 3.73653, 0.00622, 0.01096
