ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
55, 841, 0.80396, 1.29651, 0.06906, 0.08182, 2.22501, 0.00882, 0.02040, 2.09417, 0.03381, 0.04054, 2.35910, 0.00533, 0.02164, 2.27055, 0.00616, 0.02342, 51.63920, 0.07705, 0.08786, 0.34879, 0.00000, 0.31417, 4.27951, 0.00693, 0.02347
277, 607, 0.83997, 1.47449, 0.02613, 0.06055, 1.57049, 0.00642, 0.02235, 1.42638, 0.01837, 0.04434, 1.31961, 0.00206, 0.01032, 1.18281, 0.00176, 0.00833, 0.25025, 0.02505, 0.06031, 0.34843, 0.05368, 0.34139, 2.61710, 0.00096, 0.00480
139, 1009, 0.89014, 1.42265, 0.01997, 0.03550, 1.70058, 0.00749, 0.01523, 1.48527, 0.01296, 0.02613, 1.72841, 0.00566, 0.01180, 1.68556, 0.00537, 0.01121, 0.24155, 0.01940, 0.03253, 0.33511, 0.02088, 0.01644, 3.34250, 0.00552, 0.01241
865, 133, 0.53368, 3.03953, 0.11985, 0.31366, 3.34504, 0.10784, 0.27155, 2.62643, 0.11866, 0.30975, 2.61946, 0.11922, 0.31067, 2.45587, 0.11871, 0.30958, NaN, NaN, NaN, 2.01908, 0.00955, 0.02123, 4.26340, 0.11770, 0.30779
211, 415, 0.96952, 1.27647, 0.00422, 0.01393, 2.09849, 0.00541, 0.02958, 1.45346, 0.00445, 0.01586, 1.72823, 0.00447, 0.01775, 1.88664, 0.00417, 0.01698, 0.25401, 0.00345, 0.01342, 0.24370, 0.08315, 2.95091, NaN, NaN, NaN
445, 451, 0.99896, 0.80993, 0.00249, 0.00687, 1.00231, 0.00452, 0.01156, 0.91133, 0.00222, 0.00517, 0.93922, 0.00235, 0.00557, 0.92657, 0.00253, 0.00634, 0.18235, 0.00186, 0.00546, 0.24880, 0.00948, 0.07969, 3.16279, 0.00374, 0.01113
133, 889, 0.94697, 1.54198, 0.00849, 0.03352, 2.22681, 0.00864, 0.04666, 1.93897, 0.00873, 0.03288, 2.13758, 0.00683, 0.02734, 2.00421, 0.00710, 0.02910, 0.29897, 0.00701, 0.02919, 0.26892, 0.39344, 0.22564, 4.56837, 0.00583, 0.02246
493, 481, 0.90875, 0.95422, 0.01551, 0.02883, 1.22037, 0.00651, 0.01261, 1.05161, 0.00881, 0.01702, 1.08072, 0.00722, 0.01320, 0.97116, 0.00759, 0.01507, 0.17281, 0.01784, 0.03288, 0.37199, 0.01203, 0.03467, 3.45376, 0.00528, 0.01783
187, 553, 0.91117, 1.54137, 0.00700, 0.00669, 1.73026, 0.00225, 0.00384, 1.36183, 0.00338, 0.00344, 1.57021, 0.00221, 0.00449, 1.44968, 0.00256, 0.00585, 0.23489, 0.00764, 0.01017, 0.31829, 0.14211, 0.07810, 2.65967, 0.00284, 0.00483
553, 571, 0.95544, 1.14075, 0.00573, 0.02290, 1.44601, 0.00174, 0.00861, 1.22064, 0.00260, 0.01110, 1.13534, 0.00193, 0.00812, 1.09447, 0.00192, 0.00813, 0.19176, 0.00546, 0.02196, 0.31215, 0.03237, 0.12790, 4.49519, 0.00098, 0.00838
601, 175, 0.58735, 1.68013, 0.06783, 0.01656, 3.11162, 0.05599, 0.08108, 2.21729, 0.06780, 0.04552, 2.41906, 0.05917, 0.07999, 2.64310, 0.06109, 0.07858, NaN, NaN, NaN, 1.78233, 0.02301, 0.05415, 5.12631, 0.01275, 0.02099
787, 793, 0.96710, 1.46322, 0.00587, 0.02187, 2.31873, 0.00272, 0.01511, 1.66958, 0.00174, 0.01162, 2.84702, 0.00497, 0.02520, 1.76126, 0.00241, 0.01487, 0.25065, 0.00586, 0.02067, 0.28493, 0.02062, 0.03934, 5.66515, 0.00467, 0.19958
379, 85, 0.54552, 1.70794, 0.11684, 0.22562, 1.93686, 0.08418, 0.17551, 1.96499, 0.10771, 0.21327, 1.91245, 0.10708, 0.21218, 1.63655, 0.11036, 0.21835, NaN, NaN, NaN, 2.55226, 0.13197, 0.02524, 5.12680, 0.00582, 0.01789
